ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93603,10,2013,Elec- Commercial,Y,0,0,
93603,10,2013,Elec- Residential,N,215,"87,552",407
93604,10,2013,Elec- Commercial,Y,0,0,
93604,10,2013,Elec- Residential,N,"1,029","389,869",379
93606,10,2013,Elec- Residential,N,227,"103,753",457
93608,10,2013,Elec- Agricultural,Y,124,"6,772,965","54,621"
93608,10,2013,Elec- Commercial,N,41,"73,127","1,784"
93608,10,2013,Elec- Industrial,Y,0,0,
93608,10,2013,Elec- Residential,N,298,"134,681",452
93609,10,2013,Elec- Agricultural,Y,0,0,
93609,10,2013,Elec- Commercial,Y,0,0,
93609,10,2013,Elec- Residential,N,"1,406","954,576",679
93610,10,2013,Elec- Agricultural,N,320,"6,086,823","19,021"
93610,10,2013,Elec- Commercial,Y,555,"2,748,886","4,953"
93610,10,2013,Elec- Industrial,Y,0,0,
93610,10,2013,Elec- Residential,N,"5,344","3,050,607",571
93611,10,2013,Elec- Agricultural,Y,0,0,
93611,10,2013,Elec- Commercial,N,686,"6,470,628","9,432"
93611,10,2013,Elec- Industrial,Y,0,0,
93611,10,2013,Elec- Residential,N,"15,708","9,512,518",606
93612,10,2013,Elec- Agricultural,Y,0,0,
93612,10,2013,Elec- Commercial,N,"1,357","11,077,112","8,163"
93612,10,2013,Elec- Residential,N,"13,596","6,325,469",465
93614,10,2013,Elec- Agricultural,Y,0,0,
93614,10,2013,Elec- Commercial,Y,372,"1,644,063","4,420"
93614,10,2013,Elec- Industrial,Y,0,0,
93614,10,2013,Elec- Residential,N,"4,621","2,901,976",628
93615,10,2013,Elec- Agricultural,Y,0,0,
93615,10,2013,Elec- Commercial,Y,0,0,
93615,10,2013,Elec- Residential,N,"1,347","592,931",440
93616,10,2013,Elec- Agricultural,Y,0,0,
93616,10,2013,Elec- Commercial,Y,0,0,
93616,10,2013,Elec- Industrial,Y,0,0,
93616,10,2013,Elec- Residential,N,613,"365,835",597
93618,10,2013,Elec- Agricultural,Y,0,0,
93618,10,2013,Elec- Commercial,Y,"1,015","6,768,926","6,669"
93618,10,2013,Elec- Industrial,Y,0,0,
93618,10,2013,Elec- Residential,N,"7,803","3,938,239",505
93619,10,2013,Elec- Agricultural,Y,142,"162,464","1,144"
93619,10,2013,Elec- Commercial,Y,230,"1,494,879","6,499"
93619,10,2013,Elec- Industrial,Y,0,0,
93619,10,2013,Elec- Residential,N,"10,369","7,326,975",707
93620,10,2013,Elec- Agricultural,Y,0,0,
93620,10,2013,Elec- Commercial,Y,289,"651,750","2,255"
93620,10,2013,Elec- Residential,N,"2,879","1,623,414",564
93621,10,2013,Elec- Agricultural,Y,0,0,
93621,10,2013,Elec- Commercial,Y,0,0,
93621,10,2013,Elec- Residential,N,231,"136,135",589
93622,10,2013,Elec- Agricultural,Y,311,"9,323,479","29,979"
93622,10,2013,Elec- Commercial,N,271,"826,668","3,050"
93622,10,2013,Elec- Industrial,Y,0,0,
93622,10,2013,Elec- Residential,N,"2,453","1,104,588",450
93623,10,2013,Elec- Agricultural,Y,0,0,
93623,10,2013,Elec- Commercial,Y,0,0,
93623,10,2013,Elec- Residential,N,193,"54,241",281
93624,10,2013,Elec- Residential,N,212,"124,458",587
93625,10,2013,Elec- Agricultural,Y,0,0,
93625,10,2013,Elec- Commercial,N,213,"1,017,155","4,775"
93625,10,2013,Elec- Residential,N,"2,261","1,210,839",536
93626,10,2013,Elec- Agricultural,Y,0,0,
93626,10,2013,Elec- Commercial,Y,0,0,
93626,10,2013,Elec- Industrial,Y,0,0,
93626,10,2013,Elec- Residential,N,574,"404,495",705
93627,10,2013,Elec- Agricultural,Y,0,0,
93627,10,2013,Elec- Commercial,Y,0,0,
93627,10,2013,Elec- Industrial,Y,0,0,
93627,10,2013,Elec- Residential,Y,0,0,
93628,10,2013,Elec- Agricultural,Y,0,0,
93628,10,2013,Elec- Commercial,Y,0,0,
93628,10,2013,Elec- Residential,Y,0,0,
93630,10,2013,Elec- Agricultural,Y,0,0,
93630,10,2013,Elec- Commercial,N,371,"2,574,793","6,940"
93630,10,2013,Elec- Residential,N,"5,451","2,962,169",543
93631,10,2013,Elec- Agricultural,Y,870,"4,876,037","5,605"
93631,10,2013,Elec- Commercial,Y,0,0,
93631,10,2013,Elec- Industrial,Y,0,0,
93631,10,2013,Elec- Residential,N,"5,405","3,125,290",578
93633,10,2013,Elec- Commercial,Y,0,0,
93633,10,2013,Elec- Residential,Y,218,"30,399",139
93635,10,2013,Elec- Agricultural,Y,694,"5,709,541","8,227"
93635,10,2013,Elec- Commercial,Y,"1,045","7,225,329","6,914"
93635,10,2013,Elec- Industrial,Y,0,0,
93635,10,2013,Elec- Residential,N,"12,128","6,571,253",542
93636,10,2013,Elec- Agricultural,Y,0,0,
93636,10,2013,Elec- Commercial,N,106,"226,751","2,139"
93636,10,2013,Elec- Residential,N,"3,514","2,781,879",792
93637,10,2013,Elec- Agricultural,N,431,"4,713,724","10,937"
93637,10,2013,Elec- Commercial,N,"1,027","9,229,897","8,987"
93637,10,2013,Elec- Industrial,Y,113,"167,841,100","1,485,319"
93637,10,2013,Elec- Residential,N,"11,354","6,202,298",546
93638,10,2013,Elec- Agricultural,Y,446,"1,825,012","4,092"
93638,10,2013,Elec- Commercial,N,759,"4,426,862","5,832"
93638,10,2013,Elec- Industrial,Y,0,0,
93638,10,2013,Elec- Residential,N,"12,017","6,265,641",521
93640,10,2013,Elec- Agricultural,Y,0,0,
93640,10,2013,Elec- Commercial,Y,251,"1,108,921","4,418"
93640,10,2013,Elec- Residential,N,"2,557","1,069,050",418
93641,10,2013,Elec- Agricultural,Y,0,0,
93641,10,2013,Elec- Commercial,Y,0,0,
93641,10,2013,Elec- Residential,N,301,"161,985",538
93643,10,2013,Elec- Agricultural,Y,0,0,
93643,10,2013,Elec- Commercial,Y,0,0,
93643,10,2013,Elec- Residential,N,"1,580","891,512",564
93644,10,2013,Elec- Agricultural,Y,0,0,
93644,10,2013,Elec- Commercial,Y,697,"2,833,316","4,065"
93644,10,2013,Elec- Residential,N,"4,035","2,419,411",600
93645,10,2013,Elec- Agricultural,Y,0,0,
93645,10,2013,Elec- Commercial,Y,0,0,
93645,10,2013,Elec- Residential,N,154,"96,834",629
93646,10,2013,Elec- Agricultural,Y,0,0,
93646,10,2013,Elec- Commercial,Y,0,0,
93646,10,2013,Elec- Residential,N,"2,507","1,069,396",427
93647,10,2013,Elec- Agricultural,Y,525,"1,600,470","3,049"
93647,10,2013,Elec- Commercial,Y,452,"1,532,915","3,391"
93647,10,2013,Elec- Residential,N,"2,658","1,209,825",455
93648,10,2013,Elec- Agricultural,Y,0,0,
93648,10,2013,Elec- Commercial,Y,0,0,
93648,10,2013,Elec- Industrial,Y,0,0,
93648,10,2013,Elec- Residential,N,"3,435","1,584,743",461
93650,10,2013,Elec- Agricultural,Y,0,0,
93650,10,2013,Elec- Commercial,Y,0,0,
93650,10,2013,Elec- Residential,N,"1,073","597,307",557
93651,10,2013,Elec- Agricultural,Y,0,0,
93651,10,2013,Elec- Commercial,Y,0,0,
93651,10,2013,Elec- Residential,N,589,"435,398",739
93652,10,2013,Elec- Agricultural,Y,0,0,
93652,10,2013,Elec- Commercial,Y,0,0,
93652,10,2013,Elec- Residential,N,123,"78,690",640
93653,10,2013,Elec- Agricultural,Y,0,0,
93653,10,2013,Elec- Commercial,Y,0,0,
93653,10,2013,Elec- Residential,N,426,"261,485",614
93654,10,2013,Elec- Agricultural,Y,"1,038","8,535,979","8,223"
93654,10,2013,Elec- Commercial,Y,0,0,
93654,10,2013,Elec- Industrial,Y,0,0,
93654,10,2013,Elec- Residential,N,"8,551","4,370,113",511
93656,10,2013,Elec- Agricultural,Y,0,0,
93656,10,2013,Elec- Commercial,Y,264,"1,365,583","5,173"
93656,10,2013,Elec- Residential,N,"1,567","970,723",619
93657,10,2013,Elec- Agricultural,N,728,"1,974,556","2,712"
93657,10,2013,Elec- Commercial,Y,"1,395","8,063,649","5,780"
93657,10,2013,Elec- Industrial,Y,0,0,
93657,10,2013,Elec- Residential,N,"10,681","6,002,785",562
93660,10,2013,Elec- Agricultural,Y,0,0,
93660,10,2013,Elec- Commercial,Y,105,"343,763","3,274"
93660,10,2013,Elec- Residential,Y,"1,025","431,060",421
93662,10,2013,Elec- Agricultural,N,529,"2,394,915","4,527"
93662,10,2013,Elec- Commercial,Y,787,"6,722,587","8,542"
93662,10,2013,Elec- Industrial,Y,0,0,
93662,10,2013,Elec- Residential,N,"8,572","4,335,517",506
93664,10,2013,Elec- Commercial,Y,0,0,
93664,10,2013,Elec- Residential,N,283,"119,030",421
93665,10,2013,Elec- Residential,N,212,"88,634",418
93666,10,2013,Elec- Residential,N,158,"74,857",474
93667,10,2013,Elec- Agricultural,Y,0,0,
93667,10,2013,Elec- Commercial,Y,0,0,
93667,10,2013,Elec- Residential,N,931,"582,074",625
93668,10,2013,Elec- Agricultural,Y,0,0,
93668,10,2013,Elec- Commercial,Y,0,0,
93668,10,2013,Elec- Residential,N,322,"177,209",550
93669,10,2013,Elec- Commercial,Y,0,0,
93669,10,2013,Elec- Residential,N,201,"72,258",359
93673,10,2013,Elec- Residential,N,177,"82,936",469
93675,10,2013,Elec- Agricultural,Y,0,0,
93675,10,2013,Elec- Commercial,Y,0,0,
93675,10,2013,Elec- Residential,N,"1,543","961,517",623
93701,10,2013,Elec- Agricultural,Y,0,0,
93701,10,2013,Elec- Commercial,N,428,"1,701,243","3,975"
93701,10,2013,Elec- Residential,N,"3,283","1,207,627",368
93702,10,2013,Elec- Agricultural,Y,0,0,
93702,10,2013,Elec- Commercial,N,704,"4,351,515","6,181"
93702,10,2013,Elec- Industrial,Y,0,0,
93702,10,2013,Elec- Residential,N,"11,352","4,913,109",433
93703,10,2013,Elec- Agricultural,Y,0,0,
93703,10,2013,Elec- Commercial,N,846,"3,817,182","4,512"
93703,10,2013,Elec- Residential,N,"9,775","4,329,218",443
93704,10,2013,Elec- Agricultural,Y,0,0,
93704,10,2013,Elec- Commercial,N,527,"3,594,231","6,820"
93704,10,2013,Elec- Industrial,Y,0,0,
93704,10,2013,Elec- Residential,N,"11,211","5,305,870",473
93705,10,2013,Elec- Agricultural,Y,0,0,
93705,10,2013,Elec- Commercial,N,356,"1,738,984","4,885"
93705,10,2013,Elec- Residential,N,"12,025","5,523,156",459
93706,10,2013,Elec- Agricultural,Y,"2,790","28,577,222","10,243"
93706,10,2013,Elec- Commercial,N,"1,095","10,225,306","9,338"
93706,10,2013,Elec- Industrial,Y,0,0,
93706,10,2013,Elec- Residential,N,"10,198","5,245,033",514
93710,10,2013,Elec- Agricultural,Y,0,0,
93710,10,2013,Elec- Commercial,Y,"1,173","9,673,140","8,246"
93710,10,2013,Elec- Industrial,Y,0,0,
93710,10,2013,Elec- Residential,N,"10,923","5,611,197",514
93711,10,2013,Elec- Agricultural,Y,0,0,
93711,10,2013,Elec- Commercial,Y,"1,671","10,407,927","6,229"
93711,10,2013,Elec- Residential,N,"15,814","9,762,208",617
93720,10,2013,Elec- Agricultural,Y,0,0,
93720,10,2013,Elec- Commercial,Y,"1,282","14,484,865","11,299"
93720,10,2013,Elec- Industrial,Y,0,0,
93720,10,2013,Elec- Residential,N,"17,636","9,893,959",561
93721,10,2013,Elec- Agricultural,Y,0,0,
93721,10,2013,Elec- Commercial,N,722,"9,304,228","12,887"
93721,10,2013,Elec- Industrial,Y,0,0,
93721,10,2013,Elec- Residential,N,"1,307","546,214",418
93722,10,2013,Elec- Agricultural,Y,239,"376,263","1,574"
93722,10,2013,Elec- Commercial,Y,"1,431","8,941,571","6,248"
93722,10,2013,Elec- Industrial,Y,0,0,
